Image_ID,Spike Area Manual,Spike Area Automatic,Class
A2_MHV_AxA_0001_Ceta_1553_1924,0.0,0.0,mutant
A2_MHV_AxA_0001_Ceta_1941_1140,1282.0,1282.0,mutant
A2_MHV_AxA_0001_Ceta_208_411,0.0,0.0,mutant
A2_MHV_AxA_0001_Ceta_2140_1077,1295.0,1295.0,mutant
A2_MHV_AxA_0001_Ceta_3147_589,75.0,75.0,mutant
A2_MHV_AxA_0001_Ceta_520_2956,8432.0,8432.0,mutant
A2_MHV_AxA_0002_Ceta_1721_2872,1410.0,1613.0,mutant
A2_MHV_AxA_0002_Ceta_2065_345,97878.0,97878.0,mutant
A2_MHV_AxA_0002_Ceta_2677_3706,2528.0,3932.0,mutant
A2_MHV_AxA_0002_Ceta_3031_497,942.0,1096.0,mutant
A2_MHV_AxA_0002_Ceta_84_1614,0.0,0.0,mutant
A2_MHV_AxA_0003_Ceta_118_2616,68032.0,68032.0,mutant
A2_MHV_AxA_0003_Ceta_1488_963,1250.0,1357.0,mutant
A2_MHV_AxA_0003_Ceta_2054_3647,0.0,517.0,mutant
A2_MHV_AxA_0003_Ceta_2176_321,0.0,4.0,mutant
A2_MHV_AxA_0003_Ceta_2509_3060,1564.0,1564.0,mutant
A2_MHV_AxA_0003_Ceta_3242_1933,105771.0,68037.0,mutant
A2_MHV_AxA_0003_Ceta_3272_1549,79868.0,111303.0,mutant
A2_MHV_AxA_0003_Ceta_760_2241,4872.0,4872.0,mutant
A2_MHV_AxA_0004_Ceta_0_3161,0.0,0.0,mutant
A2_MHV_AxA_0004_Ceta_2014_1539,1805.0,1805.0,mutant
A2_MHV_AxA_0004_Ceta_2090_543,4667.0,4786.0,mutant
A2_MHV_AxA_0004_Ceta_2499_821,0.0,0.0,mutant
A2_MHV_AxA_0004_Ceta_2752_2166,5477.0,5477.0,mutant
A2_MHV_AxA_0005_Ceta_230_1857,1509.0,1509.0,mutant
A2_MHV_AxA_0005_Ceta_2692_1099,163.0,0.0,mutant
A2_MHV_AxA_0005_Ceta_2898_2423,1078.0,1222.0,mutant
A2_MHV_AxA_0005_Ceta_2964_1357,189485.0,30883.0,mutant
